id_documento,texto,url,arquivo,extensao
29,Gabarito definitivo da fase 1,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/gabarito-definitivo-fase-1a.pdf,gabarito-definitivo-fase-1a.pdf,PDF
34,Gabarito definitivo da fase 1,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2022/GabaritoDefinitivoV2_OBBXVIII.pdf,GabaritoDefinitivoV2_OBBXVIII.pdf,PDF
27,Gabarito definitivo da fase 2A,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2023/XIX_OBB-gabarito-definitivo-2a.pdf,XIX_OBB-gabarito-definitivo-2a.pdf,PDF
32,Gabarito definitivo da fase 2A - Comentado,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2022/GabaritoDefinitivo2A_OBBXVIII.pdf,GabaritoDefinitivo2A_OBBXVIII.pdf,PDF
26,Gabarito definitivo da fase 2B,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Fase%202B%20-%20OBB%202023%20com%20gabarito%20definitivo.pdf,Fase%202B%20-%20OBB%202023%20com%20gabarito%20definitivo.pdf,PDF
37,Gabarito definitivo e comentado da fase 2A de 2021.,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/Gabarito%20Definitivo_%20e_Comentado_Fase%202A%20_25_05_21_divulga%C3%A7%C3%A3o.pdf,Gabarito%20Definitivo_%20e_Comentado_Fase%202A%20_25_05_21_divulga%C3%A7%C3%A3o.pdf,PDF
89,Gabarito_II_OBB.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_II_OBB.pdf,Gabarito_II_OBB.pdf,PDF
84,Gabarito_IX_OBB_1afase.docx,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_IX_OBB_1afase.docx,Gabarito_IX_OBB_1afase.docx,DOCX
83,Gabarito_IX_OBB_2afase.docx,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_IX_OBB_2afase.docx,Gabarito_IX_OBB_2afase.docx,DOCX
90,Gabarito_I_OBB.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_I_OBB.pdf,Gabarito_I_OBB.pdf,PDF
85,Gabarito_VIII_OBB_1afase.doc,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_VIII_OBB_1afase.doc,Gabarito_VIII_OBB_1afase.doc,DOC
86,Gabarito_VII_OBB_2afase.doc,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_VII_OBB_2afase.doc,Gabarito_VII_OBB_2afase.doc,DOC
87,Gabarito_VI_OBB_2afase.doc,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_VI_OBB_2afase.doc,Gabarito_VI_OBB_2afase.doc,DOC
88,Gabarito_V_OBB_1afase.doc,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_V_OBB_1afase.doc,Gabarito_V_OBB_1afase.doc,DOC
80,Gabarito_V_OBB_2afase.doc,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_V_OBB_2afase.doc,Gabarito_V_OBB_2afase.doc,DOC
81,Gabarito_XIII_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_XIII_OBB_1afase.pdf,Gabarito_XIII_OBB_1afase.pdf,PDF
82,Gabarito_XII_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabarito_XII_OBB_1afase.pdf,Gabarito_XII_OBB_1afase.pdf,PDF
91,Gabaritos das OBBs.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Gabaritos_OBB/Gabaritos%20das%20OBBs.pdf,Gabaritos%20das%20OBBs.pdf,PDF
53,Gab​arito XIV OBB - 1ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2018/Gabarito_XIV_OBB_1afase.pdf,Gabarito_XIV_OBB_1afase.pdf,PDF
50,Gab​arito XIV OBB - 2ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2018/Gabarito_XIV_OBB_2afase.pdf,Gabarito_XIV_OBB_2afase.pdf,PDF
46,Gab​arito XV OBB - 1ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2019/GabaritoDefinitivo_ProvaFase1_OBB2019.pdf,GabaritoDefinitivo_ProvaFase1_OBB2019.pdf,PDF
44,Gab​arito XV OBB - 2ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2019/gabaritoDefinitivo_ProvaFase2.pdf,gabaritoDefinitivo_ProvaFase2.pdf,PDF
76,III_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/III_OBB_1afase.pdf,III_OBB_1afase.pdf,PDF
75,III_OBB_2afase_caderno1.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/III_OBB_2afase_caderno1.pdf,III_OBB_2afase_caderno1.pdf,PDF
74,III_OBB_2afase_caderno2.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/III_OBB_2afase_caderno2.pdf,III_OBB_2afase_caderno2.pdf,PDF
78,II_OBB_caderno1.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/II_OBB_caderno1.pdf,II_OBB_caderno1.pdf,PDF
77,II_OBB_caderno2.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/II_OBB_caderno2.pdf,II_OBB_caderno2.pdf,PDF
73,IV_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/IV_OBB_1afase.pdf,IV_OBB_1afase.pdf,PDF
63,IX_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/IX_OBB_2afase.pdf,IX_OBB_2afase.pdf,PDF
79,I_OBB_caderno2.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/I_OBB_caderno2.pdf,I_OBB_caderno2.pdf,PDF
49,Lista Definitiva dos Classificados XIV OBB - 3ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2018/OBB%202018%20(3%C2%AA%20Fase)%20Lista%20Definitiva%20dos%20Classificados%20(1).pdf,OBB%202018%20(3%C2%AA%20Fase)%20Lista%20Definitiva%20dos%20Classificados%20(1).pdf,PDF
52,Lista de Aprovados XIV OBB - 1ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2018/Lista%20Aprovados%20OBB%202018%201a%20Fase.pdf,Lista%20Aprovados%20OBB%202018%201a%20Fase.pdf,PDF
48,Lista dos Classificados para a Fase Internacional XIV OBB,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2018/XIV%20OBB%20Classifica%C3%A7%C3%A3o%20_Fase%20Internacional.pdf,XIV%20OBB%20Classifica%C3%A7%C3%A3o%20_Fase%20Internacional.pdf,PDF
38,Prova Fase 2A OBB 2021,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2021/prova_fase2A_sistema.pdf,prova_fase2A_sistema.pdf,PDF
36,Prova Fase 2B com Gabarito Definitivo Comentado,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Prova_gabarito_definitivo_comentado.pdf,Prova_gabarito_definitivo_comentado.pdf,PDF
54,Prova XIV OBB - 1ª Fase​,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2018/Prova%20fase%201%20OBB%202018.pdf,Prova%20fase%201%20OBB%202018.pdf,PDF
51,Prova XIV OBB - 2ª Fase,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Prova_fase2_OBB_2018.pdf,Prova_fase2_OBB_2018.pdf,PDF
47,Prova XV OBB - 1ª Fase​,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2019/ProvaOBB_Fase1_2019.pdf,ProvaOBB_Fase1_2019.pdf,PDF
45,Prova XV OBB - 2ª Fase​,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Porva_fase2_OBB_2019.pdf,Porva_fase2_OBB_2019.pdf,PDF
7,Prova XXII OBB - 1ª fase,https://olimpiadasdebiologia.butantan.gov.br/assets/2026/OBB/1fase_XXII%20OBB.pdf,1fase_XXII%20OBB.pdf,PDF
6,Prova XXII OBB - 1ª fase (Fonte 18),https://olimpiadasdebiologia.butantan.gov.br/assets/2026/OBB/1fase_XXII%20OBB%20-%20fonte-18.pdf,1fase_XXII%20OBB%20-%20fonte-18.pdf,PDF
4,Prova XXII OBB - 2ª fase,https://olimpiadasdebiologia.butantan.gov.br/assets/2026/OBB/2fase_XXII%20OBB.pdf,2fase_XXII%20OBB.pdf,PDF
3,Prova XXII OBB - 2ª fase (Fonte 18),https://olimpiadasdebiologia.butantan.gov.br/assets/2026/OBB/2fase_XXII%20OBB-18-pts-0.pdf,2fase_XXII%20OBB-18-pts-0.pdf,PDF
16,Prova da Fase 1 - fonte 11,https://olimpiadasdebiologia.butantan.gov.br/assets/2025/1fase_XXI%20OBB-11pts.pdf,1fase_XXI%20OBB-11pts.pdf,PDF
23,Prova da Fase 1 - fonte 12,https://olimpiadasdebiologia.butantan.gov.br/assets/OBB_documento_fonte%2012.pdf,OBB_documento_fonte%2012.pdf,PDF
24,Prova da Fase 1 - fonte 18,https://olimpiadasdebiologia.butantan.gov.br/assets/documento_OBB_fonte%2018_versa%CC%83o%20final.pdf,documento_OBB_fonte%2018_versa%CC%83o%20final.pdf,PDF
15,Prova da Fase 1 - fonte 18,https://olimpiadasdebiologia.butantan.gov.br/assets/2025/1fase_XXI%20OBB-18pts.pdf,1fase_XXI%20OBB-18pts.pdf,PDF
25,Prova da Fase 1 - fonte 24,https://olimpiadasdebiologia.butantan.gov.br/assets/documento_OBB_fonte%2024_versa%CC%83o%20final.pdf,documento_OBB_fonte%2024_versa%CC%83o%20final.pdf,PDF
12,Prova da Fase 2 - fonte 11,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2025/2fase_XXI-OBB%20(2).pdf,2fase_XXI-OBB%20(2).pdf,PDF
11,Prova da Fase 2 - fonte 18,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2025/prova-fase2-obb-18pt.pdf,prova-fase2-obb-18pt.pdf,PDF
41,Prova da Fase Seletiva/Gabarito Comentado,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2021/Prova%20e%20gabarito%20-%20Seletiva%20internacional_v_final.pdf,Prova%20e%20gabarito%20-%20Seletiva%20internacional_v_final.pdf,PDF
35,Prova da fase 1,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2022/XVIII_OBB_prova_1a_fase-site.pdf,XVIII_OBB_prova_1a_fase-site.pdf,PDF
30,Prova da fase 1,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2023/prova%20de%20fase%201.pdf,prova%20de%20fase%201.pdf,PDF
33,Prova da fase 2A,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2022/Fase%202A_prova.pdf,Fase%202A_prova.pdf,PDF
19,Prova da fase 2A - fonte 12,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2024/OBB_prova%20fase%202A.pdf,OBB_prova%20fase%202A.pdf,PDF
20,Prova da fase 2A - fonte 24,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2024/prova-fase-2A-24pt.pdf,prova-fase-2A-24pt.pdf,PDF
17,Prova da fase 2B da XX OBB/Gabarito Definitivo,https://olimpiadasdebiologia.butantan.gov.br/assets/fase%202B_XX%20OBB_com%20gabarito%20definitivo%20comentado.pdf,fase%202B_XX%20OBB_com%20gabarito%20definitivo%20comentado.pdf,PDF
31,Prova de fase 2B e Gabarito - Comentado,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/OBB_2022/GabaritoDefinitivo2B_OBBXVIII.pdf,GabaritoDefinitivo2B_OBBXVIII.pdf,PDF
8,Prova e gabarito definitivo - fase 3,https://olimpiadasdebiologia.butantan.gov.br/assets/2025/fase3-gabarito-definitivo-0.pdf,fase3-gabarito-definitivo-0.pdf,PDF
28,Prova fase 2A,https://olimpiadasdebiologia.butantan.gov.br/assets/documentos/2023/XIX_OBBprova_2a%20fase-0.pdf,XIX_OBBprova_2a%20fase-0.pdf,PDF
66,VIII_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/VIII_OBB_1afase.pdf,VIII_OBB_1afase.pdf,PDF
65,VIII_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/VIII_OBB_2afase.pdf,VIII_OBB_2afase.pdf,PDF
68,VII_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/VII_OBB_1afase.pdf,VII_OBB_1afase.pdf,PDF
67,VII_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/VII_OBB_2afase.pdf,VII_OBB_2afase.pdf,PDF
70,VI_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/VI_OBB_1afase.pdf,VI_OBB_1afase.pdf,PDF
69,VI_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/VI_OBB_2afase.pdf,VI_OBB_2afase.pdf,PDF
71,V_OBB_ 2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/V_OBB_%202afase.pdf,V_OBB_%202afase.pdf,PDF
72,V_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/V_OBB_1afase.pdf,V_OBB_1afase.pdf,PDF
56,XIII_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/XIII_OBB_1afase.pdf,XIII_OBB_1afase.pdf,PDF
55,XIII_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/XIII_OBB_2afase.pdf,XIII_OBB_2afase.pdf,PDF
58,XII_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/XII_OBB_1afase.pdf,XII_OBB_1afase.pdf,PDF
57,XII_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/XII_OBB_2afase.pdf,XII_OBB_2afase.pdf,PDF
60,XI_OBB XI_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/XI_OBB%20XI_1afase.pdf,XI_OBB%20XI_1afase.pdf,PDF
59,XI_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/XI_OBB_2afase.pdf,XI_OBB_2afase.pdf,PDF
64,X_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/IX_OBB_1afase.pdf,IX_OBB_1afase.pdf,PDF
62,X_OBB_1afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/X_OBB_1afase.pdf,X_OBB_1afase.pdf,PDF
61,X_OBB_2afase.pdf,https://olimpiadasdebiologia.butantan.gov.br/assets/arquivos/provas_gabaritos_classificacoes/Provas_OBB/X_OBB_2afase.pdf,X_OBB_2afase.pdf,PDF
